Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
T1,26/08/16,Konyaspor,Besiktas,2,2,D,1,1,D,3.3,3.4,2.15,3.5,3.4,2,3.1,3.3,2.1,3.25,3.3,2.2,3.41,3.42,2.28,3.25,3.25,2.15,3.13,3.4,2.2,52,3.5,3.23,3.42,3.33,2.3,2.2,43,2.04,1.96,1.87,1.81,26,0.25,1.95,1.89,1.98,1.91,3.93,3.15,2.21
T1,27/08/16,Akhisar Belediyespor,Galatasaray,1,3,A,1,1,D,2.88,3.2,2.5,3,3.4,2.2,3,3.2,2.2,2.88,3.3,2.4,3.01,3.41,2.5,3.1,3.3,2.2,2.8,3.4,2.45,51,3.2,2.95,3.42,3.29,2.51,2.37,40,1.94,1.85,2,1.9,25,0.25,1.85,1.76,2.16,2.06,2.78,3.41,2.69
T1,27/08/16,Gaziantepspor,Trabzonspor,1,0,H,0,0,D,3.2,3.25,2.25,2.95,3.25,2.3,2.8,3.2,2.3,3.1,3.3,2.25,3.24,3.47,2.33,2.8,3.3,2.38,3.1,3.4,2.25,52,3.24,3.08,3.47,3.28,2.4,2.29,42,2.05,1.94,1.9,1.82,26,0.25,1.93,1.85,2.02,1.96,3.91,3.53,2.06
T1,27/08/16,Kasimpasa,Adanaspor,1,1,D,1,0,H,1.67,3.75,5,1.7,3.75,4.5,1.8,3.4,4,1.7,3.6,5,1.71,3.92,5.38,1.73,3.6,4.5,1.67,3.8,5,52,1.8,1.7,3.92,3.71,5.38,4.84,39,1.9,1.83,2.01,1.93,26,-0.75,1.96,1.89,1.98,1.92,1.68,3.97,5.6
T1,28/08/16,Bursaspor,Buyuksehyr,0,2,A,0,1,A,2.1,3.4,3.4,2.1,3.4,3.25,2.1,3.2,3.2,2.1,3.3,3.4,2.2,3.42,3.6,2.05,3.25,3.5,2.1,3.4,3.5,48,2.2,2.12,3.42,3.32,3.7,3.42,38,2.07,1.99,1.86,1.78,24,-0.25,1.89,1.82,2.07,1.99,2.54,3.31,3.03
T1,28/08/16,Fenerbahce,Kayserispor,3,3,D,2,2,D,1.4,4.33,8.5,1.36,4.6,8,1.4,4.1,7,1.36,4.5,8.5,1.4,4.99,9.27,1.4,4.33,7.5,1.36,4.75,9,50,1.45,1.38,5,4.57,9.27,8.31,39,1.88,1.77,2.11,1.99,25,-1.5,2.26,2.13,1.77,1.7,1.37,5.06,10.39
T1,28/08/16,Karabukspor,Rizespor,3,0,H,1,0,H,2,3.3,3.8,2,3.3,3.6,2.1,3.2,3.2,2,3.2,3.8,2.08,3.33,4.11,2.1,3.2,3.4,2.05,3.25,3.75,51,2.14,2.03,3.4,3.26,4.11,3.76,38,2.31,2.19,1.7,1.64,25,-0.5,2.09,2.02,1.85,1.79,2.05,3.35,4.18
T1,28/08/16,Osmanlispor,Genclerbirligi,2,2,D,2,1,H,1.91,3.4,4,1.85,3.4,4,1.9,3.3,3.7,1.91,3.4,4,1.95,3.6,4.27,2,3.3,3.6,1.9,3.5,4.1,49,2,1.92,3.6,3.45,4.27,3.93,38,2.16,2.04,1.79,1.73,24,-0.25,1.72,1.66,2.32,2.2,2.09,3.31,4.1
T1,10/09/16,Adanaspor,Gaziantepspor,0,0,D,0,0,D,2.3,3.25,3.1,2.4,3.2,2.85,2.5,3.2,2.6,2.4,3.1,3,2.5,3.22,3.17,2.38,3.2,2.88,2.38,3.25,3,55,2.55,2.41,3.4,3.17,3.17,2.97,44,2.2,2.1,1.78,1.7,28,-0.25,2.11,2.05,1.83,1.77,2.56,3.3,3.02
T1,10/09/16,Besiktas,Karabukspor,3,1,H,2,0,H,1.4,4.5,8,1.4,4.75,6.25,1.4,4.1,7,1.4,4.5,7,1.44,5.03,7.55,1.44,4.33,6.5,1.4,4.75,7.5,55,1.5,1.42,5.03,4.59,8,6.96,37,1.7,1.59,2.39,2.26,28,-1,1.74,1.67,2.31,2.2,1.48,4.68,7.31
T1,10/09/16,Buyuksehyr,Kasimpasa,3,1,H,0,1,A,1.73,3.5,5,1.8,3.4,4.25,1.9,3.3,3.7,1.73,3.5,5,1.77,3.71,5.27,1.75,3.4,4.5,1.73,3.7,4.8,55,1.9,1.77,3.75,3.56,5.27,4.6,42,2.17,2.03,1.83,1.75,29,-0.75,2.06,1.97,1.94,1.85,1.69,3.84,5.7
T1,10/09/16,Genclerbirligi,Alanyaspor,0,0,D,0,0,D,1.73,3.6,4.75,1.75,3.6,4.4,1.7,3.5,4.4,1.75,3.6,4.75,1.78,3.86,4.92,1.73,3.5,4.6,1.73,3.6,5,55,1.79,1.73,3.86,3.61,5.11,4.73,42,2.1,2.01,1.86,1.76,28,-0.75,2.02,1.95,1.92,1.86,1.93,3.6,4.33
T1,10/09/16,Kayserispor,Galatasaray,1,1,D,1,1,D,3.3,3.4,2.15,2.9,3.3,2.3,2.7,3.2,2.4,3.3,3.3,2.2,3.48,3.41,2.25,3.1,3.3,2.2,3.2,3.4,2.2,55,3.48,3.19,3.45,3.32,2.4,2.23,44,2.04,1.96,1.88,1.81,29,0.25,1.98,1.91,2,1.91,3.23,3.6,2.29
T1,11/09/16,Antalyaspor,Konyaspor,1,3,A,0,0,D,2.63,3.2,2.7,2.6,3.2,2.6,2.6,3.2,2.5,2.75,3.1,2.62,2.86,3.21,2.75,2.7,3.1,2.6,2.63,3.2,2.7,55,2.86,2.7,3.25,3.16,2.77,2.65,38,2.28,2.18,1.72,1.64,30,0,2.02,1.92,1.96,1.88,2.88,3.09,2.83
T1,11/09/16,Fenerbahce,Bursaspor,0,1,A,0,1,A,1.44,4.33,7,1.42,4.6,6.25,1.5,3.8,5.7,1.44,4.5,6.5,1.48,4.96,6.77,1.44,4.33,6.5,1.44,4.6,6.5,55,1.52,1.45,4.96,4.49,7.2,6.57,37,1.65,1.58,2.43,2.28,29,-1,1.77,1.71,2.24,2.15,1.43,4.75,8.84
T1,11/09/16,Rizespor,Akhisar Belediyespor,1,0,H,0,0,D,2.7,3.25,2.6,2.75,3.2,2.5,2.6,3.2,2.5,2.75,3.1,2.62,2.86,3.21,2.75,2.8,3.1,2.5,2.75,3.2,2.63,55,2.9,2.74,3.3,3.14,2.75,2.61,38,2.27,2.19,1.7,1.64,30,0,2.03,1.95,1.93,1.85,3.15,3.09,2.6
T1,11/09/16,Trabzonspor,Osmanlispor,0,2,A,0,1,A,2.15,3.2,3.5,2.05,3.5,3.25,2.1,3.3,3.1,2.2,3.2,3.3,2.26,3.37,3.5,2.1,3.25,3.4,2.2,3.3,3.25,55,2.27,2.18,3.45,3.29,3.55,3.31,42,2.13,2.02,1.83,1.76,29,-0.25,1.97,1.89,1.98,1.93,2.6,3.44,2.86
T1,16/09/16,Bursaspor,Kayserispor,3,1,H,1,1,D,2,3.5,3.6,2,3.4,3.5,2,3.3,3.3,2.1,3.3,3.5,2.12,3.53,3.71,2,3.3,3.6,2.05,3.5,3.5,56,2.17,2.06,3.59,3.4,3.8,3.47,43,2,1.87,2,1.89,30,-0.25,1.85,1.79,2.1,2.02,2.25,3.51,3.38
T1,16/09/16,Karabukspor,Antalyaspor,3,2,H,0,0,D,2.1,3.4,3.4,2.1,3.2,3.4,2.1,3.3,3.1,2.15,3.25,3.4,2.22,3.38,3.58,2.05,3.25,3.5,2.15,3.4,3.3,56,2.24,2.13,3.43,3.29,3.6,3.39,44,2.09,2,1.87,1.76,30,-0.25,1.93,1.85,2.01,1.96,2.5,3.29,3.11
T1,17/09/16,Alanyaspor,Trabzonspor,3,0,H,0,0,D,3,3.2,2.4,2.95,3.2,2.35,2.8,3.2,2.3,2.9,3.25,2.4,3.09,3.37,2.47,2.8,3.25,2.4,2.9,3.3,2.4,55,3.13,2.96,3.43,3.25,2.47,2.38,42,2.16,2.03,1.8,1.74,28,0.25,1.83,1.78,2.14,2.05,2.96,3.35,2.57
T1,17/09/16,Galatasaray,Rizespor,2,0,H,1,0,H,1.36,4.33,9.5,1.4,4.33,7.25,1.4,4.1,7,1.36,4.75,8.5,1.39,5.03,9.44,1.36,4.75,7.5,1.36,5,8,55,1.45,1.37,5.03,4.73,9.5,8.02,36,1.68,1.62,2.37,2.21,28,-1.5,2.17,2.08,1.81,1.74,1.4,5.07,8.76
T1,18/09/16,Akhisar Belediyespor,Besiktas,0,2,A,0,2,A,3.5,3.4,2.05,3.4,3.4,2.05,3.3,3.3,2,3.6,3.5,2,3.8,3.68,2.04,3.4,3.5,2,3.6,3.6,2,53,3.8,3.58,3.68,3.48,2.09,2,43,1.93,1.82,2.02,1.94,27,0.5,1.9,1.83,2.05,1.98,5.65,3.97,1.68
T1,18/09/16,Gaziantepspor,Buyuksehyr,0,1,A,0,0,D,5,3.4,1.75,5,3.4,1.72,3.8,3.4,1.85,4.5,3.4,1.8,5.03,3.64,1.81,4.5,3.3,1.8,4.8,3.5,1.75,53,5.03,4.7,3.64,3.43,1.85,1.78,37,2.29,2.16,1.71,1.64,28,0.75,1.85,1.79,2.12,2.03,4.63,3.62,1.88
T1,18/09/16,Konyaspor,Genclerbirligi,1,1,D,0,1,A,2,3.3,3.8,2,3.25,3.7,1.85,3.4,3.8,2,3.2,4,2.05,3.36,4.17,2,3.2,3.75,2,3.3,3.9,53,2.08,2,3.4,3.26,4.17,3.86,36,2.33,2.23,1.66,1.61,27,-0.5,2.06,2,1.88,1.82,2.15,3.16,4.11
T1,18/09/16,Osmanlispor,Adanaspor,1,0,H,0,0,D,1.5,3.8,7.5,1.5,3.7,7,1.55,3.7,5.4,1.5,4,6.5,1.54,4.31,7.01,1.53,3.8,6,1.5,4.2,6.5,53,1.64,1.51,4.31,4.02,7.5,6.42,42,1.92,1.84,2,1.92,29,-1,1.94,1.87,2.01,1.94,1.43,5.07,7.77
T1,19/09/16,Kasimpasa,Fenerbahce,1,5,A,0,3,A,4.75,3.6,1.75,4.4,3.6,1.75,4.3,3.4,1.75,4.5,3.6,1.75,5.25,3.86,1.74,4.33,3.6,1.75,4.6,3.7,1.75,53,5.25,4.62,3.86,3.66,1.81,1.73,41,1.98,1.87,1.96,1.88,27,0.75,1.92,1.85,2.03,1.96,5.95,4.04,1.64
