Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
D1,10/09/16,Freiburg,M'gladbach,3,1,H,0,1,A,17,5,7,2,17,11,3,4,2,2,0,0,3.6,3.6,2,3.7,3.6,2,3.8,3.4,2,3.5,3.6,2,3.78,3.77,2.04,3.75,3.2,2.05,3.5,3.75,2.05,55,3.8,3.58,3.9,3.63,2.1,2.01,44,1.75,1.68,2.3,2.17,30,0.5,1.9,1.84,2.05,2.01,3.83,3.75,2.03
D1,10/09/16,Ingolstadt,Hertha,0,2,A,0,1,A,12,7,5,6,13,20,6,1,3,1,0,0,2.4,3.1,3.2,2.45,3.1,3.1,2.4,3.2,3.05,2.4,3,3.1,2.51,3.14,3.29,2.5,3.1,2.9,2.45,3.2,3.13,55,2.52,2.44,3.25,3.09,3.33,3.14,42,2.66,2.47,1.6,1.53,31,-0.25,2.13,2.07,1.84,1.79,2.39,3.15,3.52
D1,10/09/16,Leverkusen,Hamburg,3,1,H,0,0,D,15,6,5,2,13,20,4,1,2,1,0,0,1.45,4.5,7,1.5,4.33,6.5,1.55,4,6.2,1.44,4.33,7,1.49,4.65,7.53,1.5,4.2,6.5,1.45,4.6,7,55,1.55,1.48,4.76,4.38,7.53,6.83,44,1.79,1.72,2.17,2.09,34,-1,1.83,1.76,2.23,2.1,1.56,4.43,6.55
D1,10/09/16,RB Leipzig,Dortmund,1,0,H,0,0,D,10,8,4,1,16,10,5,7,2,2,0,0,5.25,4.2,1.62,5.25,4.25,1.6,5.5,4,1.6,5,4.2,1.62,5.49,4.36,1.65,6,3.6,1.62,5,4.4,1.62,54,6,5.22,4.47,4.16,1.67,1.62,38,1.62,1.57,2.49,2.36,34,1,1.85,1.82,2.09,2.03,5.56,4.42,1.63
D1,10/09/16,Wolfsburg,FC Koln,0,0,D,0,0,D,18,16,4,9,13,14,8,4,2,3,0,0,1.85,3.75,4.2,1.85,3.7,4.25,1.85,3.6,4.2,1.85,3.6,4,1.93,3.8,4.22,1.83,3.4,4.5,1.91,3.8,4,54,1.94,1.89,3.95,3.67,4.5,4.05,42,1.82,1.76,2.13,2.04,29,-0.5,1.94,1.88,2.01,1.96,1.83,3.88,4.67
D1,11/09/16,Mainz,Hoffenheim,4,4,D,4,1,H,12,20,6,5,19,16,8,5,1,3,1,0,2,3.5,3.75,2,3.6,3.7,2.1,3.4,3.5,1.95,3.5,3.6,2.03,3.69,3.9,2,3.4,3.75,2,3.75,3.6,55,2.1,2.01,3.8,3.58,3.9,3.65,44,1.71,1.66,2.3,2.18,30,-0.5,2.05,2,1.91,1.85,2,3.73,3.95
D1,11/09/16,Werder Bremen,Augsburg,1,2,A,1,0,H,10,18,1,5,14,28,0,4,2,3,0,0,2.3,3.4,3.1,2.35,3.4,3,2.3,3.3,3.15,2.25,3.4,3,2.37,3.57,3.14,2.38,3.3,2.9,2.3,3.5,3.1,55,2.4,2.31,3.65,3.44,3.17,3.04,44,1.77,1.71,2.2,2.11,31,-0.25,2.05,1.98,1.93,1.87,2.44,3.52,3.06
D1,16/09/16,FC Koln,Freiburg,3,0,H,3,0,H,9,17,3,8,12,10,4,6,1,1,0,0,1.8,3.6,4.5,1.8,3.75,4.4,1.9,3.5,4.1,1.75,3.5,4.5,1.82,3.77,4.88,1.83,3.6,4.2,1.8,3.8,4.5,56,1.98,1.83,3.84,3.65,4.88,4.43,46,1.9,1.83,2.05,1.96,31,-0.75,2.15,2.03,1.88,1.83,1.74,3.96,5.24
D1,17/09/16,Bayern Munich,Ingolstadt,3,1,H,1,1,D,10,13,5,5,18,17,5,5,1,2,0,0,1.07,12,34,1.09,10.5,19,1.08,11,25,1.09,11,41,1.09,12.8,36.89,1.1,8,34,1.06,13,34,54,1.15,1.08,13.5,11.01,42.68,33.93,36,1.54,1.48,2.82,2.64,30,-2.5,1.9,1.83,3.2,2.9,1.15,8.99,26.89
D1,17/09/16,Dortmund,Darmstadt,6,0,H,1,0,H,22,5,14,1,8,16,12,2,0,4,0,1,1.13,9,21,1.15,7.75,13.5,1.17,7.5,15,1.13,9,23,1.14,9.9,23.5,1.12,8,21,1.13,9,26,54,1.19,1.13,10.5,8.78,29,21.25,43,1.41,1.36,3.24,3.03,30,-2.5,2.08,2.02,1.88,1.83,1.18,8.53,18.67
D1,17/09/16,Ein Frankfurt,Leverkusen,2,1,H,0,0,D,17,7,8,3,22,14,1,3,3,0,0,0,4,3.5,1.95,3.9,3.6,1.87,4.1,3.5,1.9,3.75,3.5,1.95,4.01,3.66,2.01,4,3.1,2.05,3.8,3.6,2,55,4.1,3.86,3.75,3.52,2.05,1.97,45,1.9,1.81,2.05,1.98,29,0.5,1.95,1.89,2.01,1.96,3.77,3.77,2.04
D1,17/09/16,Hamburg,RB Leipzig,0,4,A,0,0,D,14,12,2,6,17,13,8,3,5,1,0,0,2.75,3.25,2.63,2.6,3.2,2.7,2.6,3.3,2.7,2.62,3.25,2.7,2.79,3.31,2.79,2.7,3.1,2.7,2.75,3.3,2.7,53,2.81,2.72,3.35,3.22,2.83,2.68,42,2.19,2.02,1.86,1.78,30,0,1.98,1.92,1.97,1.91,2.77,3.41,2.74
D1,17/09/16,Hoffenheim,Wolfsburg,0,0,D,0,0,D,20,20,5,9,17,18,3,11,2,1,0,0,3.1,3.6,2.25,2.95,3.4,2.3,2.95,3.3,2.4,2.88,3.5,2.3,3.02,3.63,2.42,3,3.4,2.3,2.9,3.6,2.4,54,3.1,2.96,3.73,3.53,2.42,2.33,39,1.7,1.62,2.36,2.24,30,0.25,1.88,1.83,2.09,2.02,2.86,3.73,2.49
D1,17/09/16,M'gladbach,Werder Bremen,4,1,H,4,0,H,15,9,7,5,9,19,10,4,0,3,0,1,1.44,4.5,7.5,1.48,4.4,6,1.5,4.2,6.5,1.44,4.5,6.5,1.48,5,6.96,1.53,4,6,1.45,5,6.5,54,1.53,1.47,5.04,4.62,7.5,6.45,35,1.5,1.41,3.1,2.79,31,-1,1.76,1.71,2.25,2.17,1.47,5.15,6.98
D1,18/09/16,Augsburg,Mainz,1,3,A,0,1,A,12,11,5,6,15,16,2,7,1,2,0,1,2.38,3.4,3,2.15,3.5,3.1,2.2,3.35,3.3,2.3,3.3,3,2.42,3.47,3.13,2.4,3.1,3.1,2.38,3.5,3,54,2.44,2.35,3.52,3.35,3.3,3.05,43,1.95,1.86,2,1.92,30,-0.25,2.09,2.01,1.89,1.84,2.4,3.39,3.24
D1,18/09/16,Hertha,Schalke 04,2,0,H,0,0,D,8,11,2,4,12,17,4,6,1,1,0,0,2.5,3.4,2.8,2.55,3.4,2.6,2.7,3.3,2.6,2.5,3.1,2.8,2.66,3.31,2.92,2.62,3.1,2.8,2.55,3.4,2.8,53,2.7,2.58,3.43,3.25,2.99,2.81,43,2.2,2.09,1.8,1.73,30,0,1.9,1.85,2.06,1.99,2.88,3.41,2.63
D1,20/09/16,Darmstadt,Hoffenheim,1,1,D,0,0,D,12,15,3,4,16,18,2,6,1,1,0,0,3.5,3.5,2.1,3.6,3.4,2.1,3.35,3.4,2.15,3.4,3.6,2.05,3.62,3.7,2.11,3.4,3.4,2.1,3.4,3.7,2.1,56,3.62,3.46,3.7,3.53,2.17,2.1,44,1.83,1.75,2.15,2.05,31,0.25,2.14,2.05,1.85,1.8,3.76,3.91,2.01
D1,20/09/16,Freiburg,Hamburg,1,0,H,0,0,D,19,7,4,0,17,17,7,0,1,0,0,0,2.3,3.4,3.1,2.3,3.4,3.1,2.4,3.3,2.95,2.25,3.3,3.1,2.34,3.52,3.24,2.3,3.3,3.1,2.3,3.5,3.13,56,2.4,2.3,3.57,3.41,3.26,3.13,45,1.95,1.84,2.05,1.94,33,-0.25,2.03,1.97,1.92,1.88,2.16,3.49,3.7
D1,20/09/16,Ingolstadt,Ein Frankfurt,0,2,A,0,1,A,13,9,3,5,20,19,6,4,0,1,0,0,2.25,3.25,3.4,2.2,3.25,3.5,2.4,3.3,2.95,2.15,3.2,3.5,2.24,3.36,3.63,,,,2.2,3.3,3.5,56,2.4,2.22,3.38,3.26,3.7,3.43,43,2.31,2.21,1.72,1.65,33,-0.25,1.95,1.88,2.03,1.97,2,3.49,4.28
D1,20/09/16,Wolfsburg,Dortmund,1,5,A,0,2,A,15,10,9,9,15,12,2,3,2,0,0,0,4.75,3.75,1.75,4.6,3.9,1.75,4.2,3.6,1.85,4.33,4,1.73,4.71,4.1,1.78,4.2,4,1.75,4.5,4.1,1.75,56,4.75,4.43,4.2,3.9,1.85,1.77,39,1.64,1.59,2.4,2.31,34,1,1.7,1.63,2.45,2.32,4.81,4.2,1.74
D1,21/09/16,Bayern Munich,Hertha,3,0,H,1,0,H,16,2,7,2,9,9,6,2,1,0,0,0,1.14,9,17,1.14,8.75,17.5,1.15,8,16,1.15,7.5,23,1.16,8.63,25.3,1.14,7,21,1.13,9,22,55,1.2,1.15,9,7.87,25.3,21.23,38,1.55,1.5,2.6,2.51,30,-2.25,2.08,2.01,1.89,1.84,1.15,9.04,25.19
D1,21/09/16,Leverkusen,Augsburg,0,0,D,0,0,D,14,5,6,2,14,16,6,3,0,2,0,0,1.45,4.5,7,1.5,4.4,6.25,1.55,4,6.2,1.48,4.2,6.5,1.49,4.65,7.47,1.5,4,7,1.5,4.6,6.5,55,1.55,1.49,4.74,4.38,7.47,6.69,42,1.71,1.64,2.35,2.22,33,-1,1.84,1.79,2.14,2.07,1.49,4.91,6.9
D1,21/09/16,RB Leipzig,M'gladbach,1,1,D,1,0,H,9,3,5,1,15,16,5,2,1,2,0,0,2.38,3.5,3,2.5,3.3,2.85,2.5,3.3,2.85,2.4,3.4,2.75,2.54,3.6,2.87,2.5,3.1,2.9,2.45,3.6,2.8,54,2.54,2.46,3.74,3.43,3,2.83,41,1.68,1.63,2.35,2.24,29,0,1.85,1.8,2.11,2.05,2.24,3.53,3.46
D1,21/09/16,Schalke 04,FC Koln,1,3,A,1,1,D,18,9,8,5,17,9,8,4,2,1,0,0,2.1,3.4,3.6,2.1,3.5,3.5,2.15,3.35,3.4,2.05,3.4,3.5,2.13,3.58,3.68,2.1,3.3,3.5,2.1,3.6,3.5,54,2.18,2.11,3.62,3.44,3.7,3.5,43,1.9,1.83,2.04,1.96,29,-0.25,1.87,1.83,2.1,2.04,2.28,3.42,3.46
D1,21/09/16,Werder Bremen,Mainz,1,2,A,1,0,H,13,13,7,6,15,14,3,14,2,2,0,0,3,3.5,2.3,3,3.4,2.35,2.75,3.4,2.5,2.88,3.5,2.3,3.01,3.66,2.41,2.88,3.4,2.4,2.9,3.6,2.4,53,3.09,2.94,3.73,3.51,2.5,2.35,38,1.68,1.62,2.36,2.25,30,0.25,1.88,1.82,2.09,2.03,3.25,3.7,2.26
D1,23/09/16,Dortmund,Freiburg,3,1,H,1,0,H,24,9,5,5,8,27,15,3,2,3,0,0,1.18,7.5,15,1.2,7.5,13.5,1.17,7.5,15,1.2,6.5,13,1.21,7.51,16.23,1.18,8,15,1.18,7.5,13,55,1.25,1.2,8.26,7.17,16.23,13.83,36,1.37,1.34,3.65,3.15,31,-2,2.01,1.95,2.03,1.91,1.22,7.3,15
D1,24/09/16,Augsburg,Darmstadt,1,0,H,0,0,D,19,4,6,0,7,14,3,5,2,1,0,1,1.67,3.75,5.5,1.62,3.8,5.75,1.7,3.7,5,1.62,3.75,5.5,1.66,3.95,6.05,1.67,3.6,6,1.65,4,5.5,54,1.7,1.65,4.04,3.81,6.05,5.6,41,2.1,2,1.85,1.79,32,-1,2.19,2.12,1.8,1.75,1.65,3.93,6.21
D1,24/09/16,Ein Frankfurt,Hertha,3,3,D,2,1,H,11,6,4,4,15,13,4,1,4,2,0,0,2.25,3.2,3.4,2.4,3.3,3,2.4,3.4,2.9,2.3,3.1,3.2,2.41,3.27,3.34,2.45,3.1,3.25,2.38,3.25,3.2,54,2.45,2.37,3.4,3.18,3.4,3.2,41,2.46,2.33,1.7,1.59,28,-0.25,2.06,2,1.89,1.85,2.38,3.27,3.4
D1,24/09/16,Hamburg,Bayern Munich,0,1,A,0,0,D,7,17,1,8,17,12,3,5,2,3,0,0,13,7,1.2,13,6.5,1.22,10,6,1.27,13,6,1.22,16.3,7.19,1.22,15,7,1.2,13,7,1.22,54,17,14.17,7.19,6.47,1.28,1.22,36,1.59,1.54,2.65,2.42,30,2,1.85,1.78,2.14,2.06,16.15,7.29,1.22
D1,24/09/16,Mainz,Leverkusen,2,3,A,2,1,H,9,16,5,6,12,14,6,1,3,2,0,0,3,3.3,2.4,2.85,3.4,2.45,2.9,3.4,2.4,2.88,3.5,2.38,2.97,3.65,2.44,2.88,3.5,2.45,2.88,3.6,2.4,54,3.1,2.92,3.65,3.43,2.52,2.41,41,1.8,1.73,2.19,2.08,28,0.25,1.84,1.8,2.13,2.06,3.36,3.66,2.23
D1,24/09/16,M'gladbach,Ingolstadt,2,0,H,1,0,H,7,8,5,2,24,14,1,3,2,3,0,0,1.8,3.6,4.75,1.75,3.75,4.75,1.7,3.7,5,1.8,3.6,4.5,1.83,3.81,4.71,1.85,3.6,4.5,1.83,3.8,4.33,54,1.86,1.81,3.9,3.65,5,4.55,41,1.85,1.8,2.1,2,30,-0.75,2.11,2.05,1.85,1.81,2.02,3.36,4.35
D1,24/09/16,Werder Bremen,Wolfsburg,2,1,H,0,0,D,16,11,4,3,17,14,6,2,1,3,0,0,3.9,3.75,1.91,4,3.8,1.95,3.7,3.5,2,3.8,3.75,1.85,4.1,3.9,1.93,4,3.4,2,3.7,3.9,1.95,54,4.1,3.89,3.92,3.69,2,1.92,39,1.66,1.6,2.42,2.29,27,0.5,2.01,1.95,1.95,1.9,3.96,3.87,1.96
D1,25/09/16,FC Koln,RB Leipzig,1,1,D,1,1,D,10,12,2,2,10,16,1,6,1,2,0,0,2.3,3.3,3.2,2.35,3.4,3.2,2.5,3.3,2.85,2.3,3.25,3.1,2.36,3.43,3.28,2.38,3.5,3,2.38,3.4,3.13,52,2.5,2.31,3.5,3.34,3.3,3.16,40,1.99,1.9,1.95,1.88,27,-0.25,2.04,1.99,1.91,1.87,2.38,3.4,3.28
D1,25/09/16,Hoffenheim,Schalke 04,2,1,H,2,1,H,14,12,2,5,11,14,2,6,1,1,0,0,2.7,3.4,2.6,2.7,3.7,2.55,2.65,3.3,2.65,2.62,3.5,2.5,2.75,3.73,2.57,2.7,3.8,2.45,2.7,3.75,2.5,54,2.76,2.68,3.82,3.56,2.65,2.53,36,1.65,1.56,2.54,2.38,29,0,2.03,1.97,1.92,1.87,2.95,3.88,2.36
D1,30/09/16,RB Leipzig,Augsburg,2,1,H,1,1,D,17,6,10,2,15,12,6,3,0,3,0,0,1.65,3.75,5.75,1.7,3.6,5,1.8,3.6,4.5,1.67,3.6,5.25,1.71,3.84,5.66,1.75,3.5,5.5,1.7,3.8,5.25,54,1.8,1.71,3.9,3.67,5.75,5.33,49,2.12,2.02,1.84,1.78,32,-0.75,1.96,1.91,2.01,1.95,1.78,3.82,5.15
D1,01/10/16,Bayern Munich,FC Koln,1,1,D,1,0,H,27,5,3,2,4,12,10,3,1,2,0,0,1.17,7,19,1.16,7,15.5,1.18,7.5,13,1.17,7.5,19,1.17,8.49,21.06,1.17,8,17,1.15,8.5,18,54,1.23,1.16,8.95,7.52,23,18.83,41,1.54,1.49,2.75,2.54,33,-2,1.87,1.83,2.08,2.03,1.23,6.84,16.35
D1,01/10/16,Darmstadt,Werder Bremen,2,2,D,1,0,H,9,14,2,7,18,21,5,10,2,1,0,0,3.1,3.4,2.3,2.85,3.3,2.4,2.7,3.3,2.6,2.9,3.4,2.3,3.15,3.53,2.39,2.9,3.4,2.5,3,3.5,2.4,54,3.15,2.98,3.55,3.37,2.6,2.39,49,1.88,1.8,2.07,2,30,0.25,1.88,1.82,2.11,2.04,3.04,3.53,2.45
D1,01/10/16,Freiburg,Ein Frankfurt,1,0,H,1,0,H,11,14,3,3,12,13,9,4,4,3,0,0,2.3,3.3,3.2,2.3,3.3,3,2.3,3.3,3.15,2.3,3.3,3,2.4,3.47,3.16,2.4,3.3,3.1,2.3,3.5,3.1,54,2.45,2.34,3.5,3.34,3.25,3.11,48,1.97,1.89,1.98,1.89,30,-0.25,2.08,2,1.91,1.85,2.4,3.56,3.09
D1,01/10/16,Hertha,Hamburg,2,0,H,1,0,H,14,16,5,3,11,20,7,3,2,6,0,0,2,3.25,4.2,1.95,3.4,3.75,2,3.4,3.8,1.95,3.25,4.2,2,3.4,4.41,2.05,3.3,4,2,3.5,3.9,54,2.06,1.98,3.51,3.35,4.52,4.05,48,2.33,2.15,1.76,1.69,29,-0.5,2.02,1.98,1.93,1.88,2.1,3.43,3.95
D1,01/10/16,Ingolstadt,Hoffenheim,1,2,A,0,2,A,18,21,5,9,22,22,8,5,1,2,0,0,2.05,3.4,3.75,2,3.4,3.6,2.25,3.35,3.2,1.95,3.4,3.8,2.02,3.64,4,2.05,3.6,3.6,2.05,3.6,3.7,54,2.25,2.04,3.64,3.47,4,3.69,49,1.92,1.83,2.05,1.96,29,-0.5,2.05,2,1.92,1.85,2.13,3.55,3.72
D1,01/10/16,Leverkusen,Dortmund,2,0,H,1,0,H,11,10,6,4,21,7,1,9,5,1,0,0,3.8,3.6,1.95,3.4,3.6,2,3.5,3.4,2.1,3.4,3.8,1.95,3.7,3.84,2.04,3.5,3.75,2.05,3.5,3.8,2.05,54,3.8,3.57,3.93,3.67,2.1,2.01,41,1.6,1.54,2.57,2.42,29,0.5,1.92,1.87,2.04,1.99,3.36,3.81,2.17
D1,02/10/16,Schalke 04,M'gladbach,4,0,H,0,0,D,15,12,8,4,11,10,3,5,0,0,0,0,2.2,3.4,3.3,2.3,3.4,2.95,2.6,3.3,2.7,2.3,3.4,3,2.3,3.57,3.28,2.38,3.5,3,2.3,3.5,3.13,54,2.6,2.3,3.63,3.44,3.3,3.1,47,1.79,1.72,2.25,2.1,30,-0.25,2.01,1.97,1.94,1.88,2.41,3.54,3.09
D1,02/10/16,Wolfsburg,Mainz,0,0,D,0,0,D,19,8,3,2,10,7,11,3,0,0,0,0,1.85,3.6,4.33,1.85,3.7,3.8,1.9,3.5,4.1,1.75,3.8,4.33,1.8,4.04,4.61,1.85,3.75,4.33,1.8,4,4.3,54,1.9,1.82,4.05,3.8,4.61,4.26,47,1.75,1.65,2.34,2.22,29,-0.75,2.1,2.01,1.91,1.84,1.92,3.67,4.42
