Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
SP1,25/09/16,Ath Madrid,La Coruna,1,0,H,0,0,D,21,8,5,1,13,19,10,0,1,2,0,1,1.22,5.5,19,1.19,6.5,17,1.22,6.5,12.5,1.22,6,15,1.23,6.7,17.8,1.22,6.5,15,1.22,6.5,17,55,1.28,1.22,6.7,6.06,19,16.09,43,1.81,1.72,2.19,2.09,33,-2,2.36,2.25,1.7,1.67,1.22,6.79,19.37
SP1,25/09/16,Espanol,Celta,0,2,A,0,0,D,10,12,2,4,15,13,4,7,2,3,0,0,2.25,3.3,3.3,2.35,3.2,3.2,2.2,3.35,3.3,2.25,3.25,3.2,2.32,3.45,3.34,2.3,3.4,3.2,2.25,3.4,3.2,55,2.4,2.3,3.45,3.31,3.4,3.22,43,2.07,1.99,1.88,1.81,30,-0.25,2,1.95,1.96,1.9,2.33,3.38,3.4
SP1,25/09/16,Leganes,Valencia,1,2,A,1,1,D,7,10,3,4,19,17,1,5,4,4,0,0,2.8,3.2,2.6,2.75,3.25,2.65,2.85,3.3,2.5,2.75,3.2,2.6,2.85,3.34,2.71,2.8,3.3,2.62,2.9,3.3,2.63,55,2.95,2.8,3.4,3.26,2.71,2.6,42,2.25,2.14,1.78,1.7,31,0,2.06,1.99,1.91,1.86,3.09,3.39,2.46
SP1,25/09/16,Villarreal,Osasuna,3,1,H,3,1,H,12,11,5,3,7,16,5,5,0,2,0,0,1.4,4.33,9.5,1.4,4.6,8.75,1.4,4.8,7.5,1.4,4.33,9,1.43,4.6,9.65,1.4,4.5,9.5,1.36,4.6,10,55,1.43,1.39,4.92,4.5,11,9.3,43,2.11,1.99,1.88,1.8,32,-1.5,2.28,2.18,1.74,1.71,1.4,4.9,10.07
SP1,26/09/16,Alaves,Granada,3,1,H,0,0,D,16,13,6,3,15,19,5,6,3,3,0,0,2.1,3.3,3.75,2.05,3.4,3.7,2,3.4,3.8,2.05,3.3,3.6,2.12,3.43,3.88,2.1,3.3,3.8,2.05,3.4,3.75,53,2.15,2.08,3.46,3.33,4.05,3.73,40,2.3,2.2,1.7,1.65,27,-0.5,2.12,2.08,1.84,1.79,1.95,3.51,4.48
SP1,30/09/16,Sociedad,Betis,1,0,H,0,0,D,16,5,8,2,17,22,4,2,2,3,0,0,1.8,3.5,4.75,1.78,3.4,4.6,1.85,3.5,4.3,1.8,3.4,4.5,1.87,3.62,4.8,1.8,3.75,4.6,1.87,3.6,4.6,54,1.87,1.82,3.75,3.53,5.1,4.65,48,2.07,1.99,1.89,1.81,31,-1,2.66,2.51,1.6,1.55,1.86,3.6,4.86
SP1,01/10/16,Granada,Leganes,0,1,A,0,0,D,8,9,1,3,13,20,6,4,1,0,0,0,2.45,3.3,3,2.4,3.2,2.95,2.4,3.2,3.05,2.4,3.25,2.9,2.49,3.42,3.08,2.5,3.3,3,2.5,3.4,3,55,2.55,2.45,3.45,3.27,3.12,2.98,49,2.23,2.14,1.8,1.7,29,0,1.79,1.75,2.21,2.12,2.49,3.26,3.21
SP1,01/10/16,La Coruna,Sp Gijon,2,1,H,1,0,H,21,7,6,2,17,26,11,4,0,4,0,0,1.95,3.4,4.2,1.91,3.2,4.2,2,3.3,3.95,1.95,3.25,4.2,2.01,3.39,4.41,2,3.3,4.2,2,3.4,4.33,54,2.01,1.96,3.53,3.32,4.5,4.2,47,2.4,2.3,1.66,1.61,29,-0.5,2.01,1.96,1.95,1.89,1.88,3.46,4.99
SP1,01/10/16,Osasuna,Las Palmas,2,2,D,2,0,H,5,17,3,5,17,7,1,12,3,4,0,0,2.6,3.2,2.8,2.6,3.2,2.7,2.75,3.25,2.6,2.6,3.2,2.75,2.69,3.35,2.86,2.7,3.2,2.8,2.7,3.3,2.88,55,2.8,2.65,3.38,3.24,2.88,2.76,49,2.11,2.05,1.84,1.76,31,0,1.94,1.87,2.04,1.97,2.77,3.46,2.7
SP1,01/10/16,Sevilla,Alaves,2,1,H,0,0,D,20,6,12,1,10,13,9,2,2,6,0,0,1.44,4.33,8,1.4,4.6,7.25,1.5,4.2,6.5,1.44,4.2,7.5,1.47,4.63,8,1.44,4.8,7,1.45,4.8,7.5,55,1.52,1.45,4.8,4.46,8.1,7.3,49,1.81,1.74,2.25,2.07,33,-1,1.79,1.74,2.21,2.13,1.43,4.85,8.84
SP1,02/10/16,Celta,Barcelona,4,3,H,3,0,H,14,13,9,4,16,11,3,6,1,3,0,0,8,4.75,1.4,7,4.75,1.4,7.5,4.8,1.4,6.5,4.75,1.4,7.71,4.94,1.45,8,4.5,1.44,7.5,5,1.4,55,8.1,7.48,5.09,4.71,1.49,1.42,41,1.62,1.55,2.55,2.42,33,1,2.38,2.3,1.69,1.64,8.52,4.97,1.43
SP1,02/10/16,Espanol,Villarreal,0,0,D,0,0,D,9,5,1,1,14,10,3,1,2,2,0,0,2.88,3.1,2.63,2.6,3.1,2.75,2.77,3.2,2.6,2.8,2.9,2.7,2.93,3.1,2.81,2.9,3.1,2.7,2.8,3.2,2.63,55,3,2.83,3.2,3.07,2.81,2.7,49,2.45,2.33,1.65,1.59,31,0,2.03,1.97,1.92,1.88,3.21,3.17,2.55
SP1,02/10/16,Malaga,Ath Bilbao,2,1,H,0,1,A,15,7,3,1,19,11,7,2,7,3,1,1,2.45,3,3.3,2.5,3,2.95,2.75,3.25,2.6,2.4,2.9,3.2,2.52,3.09,3.33,2.62,3,3.1,2.4,3.2,3.13,55,2.75,2.5,3.25,3.06,3.33,3.12,44,2.51,2.42,1.6,1.55,29,0,1.8,1.72,2.28,2.17,2.64,3.19,3.05
SP1,02/10/16,Real Madrid,Eibar,1,1,D,1,1,D,15,7,3,4,8,15,7,5,4,5,0,0,1.08,11,26,1.09,9.75,21,1.11,9,23,1.09,12,29,1.1,13.4,25,1.12,9,26,1.06,13,29,55,1.15,1.09,13.5,10.88,35,25.74,41,1.26,1.22,4.6,4.13,30,-2.75,1.88,1.83,2.13,2.02,1.12,11,26.5
SP1,02/10/16,Valencia,Ath Madrid,0,2,A,0,0,D,14,17,5,10,10,15,6,5,1,3,0,0,4.5,3.5,1.85,4.25,3.5,1.83,4.1,3.5,1.9,4,3.5,1.91,4.55,3.5,1.94,4.5,3.4,1.91,4.33,3.5,1.95,55,4.6,4.23,3.67,3.48,1.97,1.91,48,2.15,2.04,1.86,1.77,29,0.75,1.75,1.7,2.28,2.2,4.67,3.66,1.88
